,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Venezuela,1196.3,737.9,983.7,992.9,1288.0,939.7,1198.8,733.2,1541.0,1451.0,1408.1,1788.3,1911.4,1071.4,987.9,1448.7,2665.4,3630.1,4351.6,5660.5,4055.4,3991.2,3577.5,5114.8,6199.7,1554.7,320.5,218.2,464.8,. .,. .
Kazakhstan,xxx,xxx,xxx,. .,. .,106.9,177.7,241.8,236.8,242.6,143.9,143.5,221.5,246.0,317.6,426.4,592.0,793.0,1359.8,1540.8,1271.9,1501.8,1804.0,2177.5,2551.1,2306.5,2046.2,1281.1,1390.6,1572.4,1766.4
Kyrgyzstan,xxx,xxx,xxx,. .,. .,12.1,26.7,28.3,31.2,26.1,23.1,25.8,22.2,25.9,32.6,37.2,39.7,47.2,50.9,61.1,67.2,77.2,86.4,107.5,119.0,128.0,117.0,115.6,121.5,127.1,124.1
Tajikistan,xxx,xxx,xxx,1.0,23.5,14.2,5.8,13.5,19.1,22.6,15.1,10.4,12.5,25.6,34.8,45.1,. .,. .,. .,52.5,47.5,53.8,71.3,76.3,. .,104.3,95.8,. .,. .,. .,. .
Turkmenistan,xxx,xxx,xxx,. .,. .,79.6,135.6,48.5,106.2,87.5,111.9,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Uzbekistan,xxx,xxx,xxx,. .,. .,86.9,112.7,172.2,217.7,. .,250.1,115.4,59.8,45.9,54.1,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,1440.4,. .
China,11403.5,10085.1,9953.6,12420.3,12577.2,10050.6,12606.2,14563.2,16104.9,17528.0,21027.3,22929.8,27875.4,32137.7,35126.3,40352.7,45918.9,55337.5,68011.6,86362.1,105644.2,115711.8,137967.3,157390.4,179880.5,200772.2,214471.5,216404.3,228466.3,253491.5,261081.9
Japan,27966.4,28800.5,32785.4,35999.1,41353.9,45285.6,49961.7,44047.1,40634.8,37849.0,43122.9,45509.7,40758.0,39333.7,42486.2,45339.8,44300.6,41552.6,40530.0,46361.5,51465.2,54655.5,60762.2,60011.5,49023.9,46903.5,42106.1,46471.3,45387.0,46618.0,47609.0
"Korea, North",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,824.4,869.6,912.6,961.5,1604.4,. .
"Korea, South",9469.0,10110.7,10956.5,11614.7,12377.4,13519.3,16085.1,16408.7,14848.5,10458.0,12095.2,13801.1,12941.9,14101.7,15847.0,17829.9,22159.5,25177.2,27726.1,26072.4,24575.7,28175.2,30991.7,31951.8,34311.2,37552.3,36570.8,36885.3,39170.7,43070.0,43890.9
Mongolia,. .,. .,110.8,33.0,14.1,16.4,21.3,21.6,18.7,19.9,18.0,24.3,23.1,25.3,24.3,27.7,29.8,39.2,56.6,66.7,37.6,54.9,87.2,113.6,103.5,105.1,101.7,96.4,87.5,96.1,99.7
Taiwan,8142.2,8701.1,9304.5,10071.1,11653.5,11953.4,11470.2,11765.2,11325.1,9231.6,9568.9,8800.6,7982.2,7531.5,7472.8,7833.2,8011.3,7645.0,8157.2,8960.2,9122.8,9092.3,9998.2,10496.8,9964.3,9802.4,9803.3,9663.7,10480.0,10504.8,10420.4
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,125.1,122.7,131.3,219.6,240.5,251.9,298.1,325.8,238.6,217.2,268.2,199.5,185.9,191.4,198.1,226.9
Bangladesh,378.8,373.0,381.7,427.7,471.0,547.4,620.1,639.0,681.9,701.6,737.4,740.8,705.5,681.8,719.4,770.6,773.7,829.7,953.5,1030.0,1258.8,1624.6,1801.5,1823.4,2048.0,2356.0,2815.3,3239.8,3266.0,3692.3,4358.1
India,10589.8,10537.0,8622.5,8083.2,8253.5,8880.6,9754.5,9904.7,11464.9,11920.6,13895.6,14287.5,14600.6,14749.7,16334.0,20238.6,23072.3,23951.9,28254.8,33002.4,38722.2,46090.4,49633.8,47216.9,47403.5,50914.1,51295.5,56637.6,64559.4,66257.8,71125.0
Nepal,36.3,37.9,35.4,37.6,37.0,39.3,39.8,39.5,42.6,42.3,47.5,51.4,64.7,85.4,102.9,130.7,159.3,157.2,169.6,187.1,209.7,255.0,284.5,256.7,281.0,328.1,323.8,356.5,436.7,429.4,428.7
Pakistan,2580.1,2810.1,3067.1,3388.8,3308.8,3320.6,3665.9,3547.8,3320.2,3218.9,3080.8,2973.1,2842.0,3273.4,3722.8,4128.2,4587.1,4969.2,5342.6,5226.7,5274.6,5974.6,6954.8,7479.0,7645.5,8654.9,9483.5,9973.8,11461.3,11528.9,10256.1
Sri Lanka,125.7,187.0,277.4,326.8,354.8,437.0,763.7,767.1,698.8,733.4,631.0,822.1,675.0,571.7,541.7,619.3,644.2,791.5,1054.8,1511.4,1522.2,1532.0,1751.9,1474.9,1600.8,1914.6,2057.9,1741.5,1866.5,1681.4,1666.5
South-East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,186.1,231.2,245.4,251.7,233.9,261.9,285.7,328.4,369.1,294.0,258.4,244.2,217.7,226.2,243.4,199.4,248.6,293.4,323.1,362.0,349.8,390.7,415.4,411.3,412.1,527.8,424.0,403.4,346.7,357.7,414.7
Cambodia,. .,29.1,43.3,62.3,44.6,107.3,123.1,113.6,103.4,83.3,88.2,81.0,70.8,65.2,67.5,69.2,71.0,75.9,79.0,82.6,136.6,167.9,192.2,217.3,243.5,278.0,325.2,382.1,463.8,543.2,604.2
Indonesia,1409.6,1614.0,1697.0,1887.6,1933.3,2239.7,2478.8,2874.8,3231.4,972.7,1135.1,1129.5,919.0,1369.9,2134.7,2428.9,2146.3,2611.9,3348.8,3232.2,3304.5,4663.4,5838.0,6531.1,8384.0,6929.2,7595.0,7396.6,8797.5,7556.8,7664.9
Laos,. .,. .,. .,102.3,107.6,116.1,103.7,78.4,67.1,33.4,15.4,13.7,12.6,11.4,11.0,11.5,12.0,13.4,14.8,16.3,14.0,15.4,19.0,20.3,22.7,. .,. .,. .,. .,. .,. .
