Supplier,Recipient,Ordered,Weapon model,Weapon category,Ordered year,Delivered year,Delivered num.,Comments,latS,longS,codeS,latR,longR,codeR
Austria,Czechia,20,Pandur-2,APC,2017,2019,(4),CZK2.1 b ($82 m) deal | produced in Czech Republic | incl 6 command post and 14 communications version | delivery planned 2019-2020,47.516231,14.550072,AUT,49.817492,15.472962,CZE
Austria,Greece,(344),4K-7FA,APC,1987,1988-1994,(344),Greek designation Leonidas-2,47.516231,14.550072,AUT,39.074208,21.824312,GRC
Austria,Indonesia,22,Pandur-2,IFV,2019,,,$80 m deal | from Czech production line | Indonesian designation Cobra | delivery planned by 2021,47.516231,14.550072,AUT,-0.789275,113.921327,IDN
Austria,Portugal,158,Pandur-2,APC,2005,2007-2016,(158),Incl ambulance ARV command post mortar carrier and anti-tank versions,47.516231,14.550072,AUT,39.399872,-8.224454,PRT
Austria,Portugal,30,Pandur-2,IFV,2005,2009-2016,(30),,47.516231,14.550072,AUT,39.399872,-8.224454,PRT
Austria,Saudi Arabia,(50),MMV,APC,2014,2015-2016,(50),,47.516231,14.550072,AUT,23.885942,45.079162,SAU
Austria,Slovenia,36,Pandur,APC,1998,1999-2003,(36),Hull produced and vehicle assembled in Slovenia | Slovenian designation Valuk,47.516231,14.550072,AUT,46.151241,14.995463,SVN
Austria,Slovenia,36,Pandur,APC,2003,2004-2007,(36),Hull produced and vehicle assembled in Slovenia | Slovenian designation Valuk,47.516231,14.550072,AUT,46.151241,14.995463,SVN
Austria,Spain,(100),SP30,IFV turret,2003,2009-2013,(100),For some 100 ASCOD (Pizarro) IFV produced in Spain,47.516231,14.550072,AUT,40.463667,-3.74922,ESP
Austria,UAE,60,Camcopter S-100,UAV,2006,2006-2010,(60),Incl production of components in UAE | UAE designation Al Saber,47.516231,14.550072,AUT,23.424076,53.847818,ARE
Austria,United States,(33),Pandur,APC,1999,2000-2007,(33),US designation AGMS (Armored Ground Mobility System),47.516231,14.550072,AUT,37.09024,-95.712891,USA
Austria,Argentina,3,DA42,Light aircraft,(2013),2016,3,,47.516231,14.550072,AUT,-38.416097,-63.616672,ARG
Austria,Australia,2,Camcopter S-100,UAV,2016,2017-2018,(2),AUD16 m ($12 m) Minor Project,47.516231,14.550072,AUT,-25.274398,133.775136,AUS
Austria,Bangladesh,6,DA40,Light aircraft,2017,2019,4,DA40NG version,47.516231,14.550072,AUT,23.684994,90.356331,BGD
